rowid,type,name_pfx,name_first,name_last,role,description,headshot_url,headshot
37,featured,NA,Joel,Birch,"Co-Founder & CEO, Stacked Invest",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/608c684eec03b3227064b4a6_F5051C9F-A9EB-47B4-9A10-44AFF61C0168.jpeg,=IMAGE(H38)
38,featured,NA,Bryan,Bishop,"Co-Founder & CTO, Avanti Bank & Trust",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605272dc7a0f54a6f097f3ab_93480720-E224-412A-B7F3-33C0550C3275.png,=IMAGE(H39)
39,featured,NA,Jeff,Booth,"Author, The Price of Tomorrow",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f3d670aced8b2875c57e0_1E0235F8-4795-4205-924B-E8173C2CA7B5.jpeg,=IMAGE(H40)
40,featured,NA,Perianne,Boring,"President & Founder, Chamber of Digital Commerce",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/603e7e325c604c693909fb1d_Boring%2C%20Perianne%20headshot.jpg,=IMAGE(H41)
41,featured,NA,Vijay,Boyapati,"Author, The Bullish Case for Bitcoin",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60934e074e5f1822a41c2509_849BF05A-DA83-4976-839A-3D548DFC9BFC.jpeg,=IMAGE(H42)
42,featured,NA,Robert,Breedlove,"Founder, CEO, and CIO of Parallax Digital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5f628046d01e8ddc1ee51ffd_IMG_0771.jpg,=IMAGE(H43)
43,featured,NA,Randy,Brito,"Founder, BitcoinVenezuela & Locha Mesh",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6053870f2031e61c4fa735bf_AABEC8FD-7427-4DAA-A00B-B5D663A6E96A.jpeg,=IMAGE(H44)
44,featured,NA,Brian,Brooks,"CEO, Binance US",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60936fb48922a1f0a9a42d8a_28350821-CE28-4F83-904B-6FE5FF33024C.jpeg,=IMAGE(H45)
45,featured,NA,Daniel,Buchner,"Decentralized Identity, Microsoft",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6065f570253af6e0a76a57b6_9D2C0717-BFF9-4BC2-95B3-09443BF7A796.jpeg,=IMAGE(H46)
46,featured,NA,The Hon. E. David,Burt,Premier of Bermuda,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60aeb4fd83278272ee09aa8c_Premier%20portrait%20photo.jpg,=IMAGE(H47)
47,featured,NA,Noah,Buxton,"Managing Director, Blockchain & Digital Assets, ArmaninoLLP",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60770efaad8c242acfc39658_E53B3144-2212-4387-BA3F-3A2FD749E251.jpeg,=IMAGE(H48)
48,featured,NA,Olaf,Carlson-Wee,"Founder & CEO, Polychain Capital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6005ced9b8d8694c473ea0c4_Screen%20Shot%202021-01-18%20at%2012.09.22%20PM.png,=IMAGE(H49)
49,featured,NA,Greg,Carson,"Head of Corporate Development & Venture Capital, XBTO Group",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b06cee955747a9ac1604a_C8BA32A1-FC09-4AD2-9BEA-7FB0F77FCF0C.jpeg,=IMAGE(H50)
50,featured,NA,Nic,Carter,"General Partner, Castle Island Ventures",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6074924aa6106312e61f04bf_6C073AB7-6804-499A-933A-0D7B6788DF11.jpeg,=IMAGE(H51)
51,featured,NA,Charles,Cascarilla,CEO and co-founder of Paxos,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60b0fed7447bd1aa6a0975e9_Charles%20Cascarilla.png,=IMAGE(H52)
52,featured,NA,Will,Cole,"Chief Product Officer, Unchained Capital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60538bece75965592bf6fd81_1917090C-27DE-41A3-A750-22D8935D3450.jpeg,=IMAGE(H53)
53,featured,NA,Mike,Colyer,"CEO, Foundry",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6076033bfa7edb26a5387ed8_Foundry-Digital-15.jpg,=IMAGE(H54)
54,featured,NA,Ryan,Condron,"CEO, Titan",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b043915f956f04f7c024a_30762A7B-4F0F-4C3F-8116-303CB1C1EB66.jpeg,=IMAGE(H55)
55,featured,NA,Matt,Corallo,"Developer, Square Crypto",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ac5a3c8e651e8968d8_Matt%20Corallo.jpg,=IMAGE(H56)
56,featured,NA,Leigh,Cuen,"Writer, Bitcoin Magazine",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8ec7788970e5_LeighCuen.jpg,=IMAGE(H57)
57,featured,NA,Sean,Culkin,Football Tight End,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60afd72066d982f336ebd9ae_image.png,=IMAGE(H58)
58,featured,NA,Alex,Daskalov,"CEO, Knox",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f4a9ca3509b02a1169415_27DDF7B1-0D0E-4216-A04A-2EFFFF79269C.jpeg,=IMAGE(H59)
59,featured,NA,Warren,Davidson,"Congressman, United States House of Representatives",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6052add8be12808e09fe5b45_B146B9A0-3C5C-4BEC-92EF-27E812775926.jpeg,=IMAGE(H60)
60,featured,NA,Wilfred,Daye,"CEO, Enigma Securities",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60956505dd615614adf14c09_7D54C340-4038-4D1D-8A46-F376602B1207.png,=IMAGE(H61)
61,featured,NA,Alejandro,De La Torre,"VP, Poolin",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606f32eef35f8eaab3aaca23_8E449F51-914E-4CE3-B966-C62F4463501B.jpeg,=IMAGE(H62)
62,featured,NA,Rockstar,Dev,"Developer, BTCPay Server & Zap",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8ed60b89705c_RockstarDev.png,=IMAGE(H63)
63,featured,NA,Zach,Dexter,"CEO, LedgerX",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6080f503c0920ee123b46a6f_A06DE3FD-E8D6-48EC-8739-BD37C8553E2B.jpeg,=IMAGE(H64)
64,featured,NA,Desiree,Dickerson,"VP of Business Operations, Lightning Labs | Co-Founder, MintGox",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6021b7c07d55e0b49fbeb927_Dickerson%20Headshot.png,=IMAGE(H65)
65,featured,NA,Tim,Dillon,"Founder, Fake Business",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60550109501f338c865442ad_450D0026-3A22-4641-A00F-EECDA6102D63.jpeg,=IMAGE(H66)
66,featured,NA,Tim,Draper,"Founder, DFJ",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606df619449d975597e46cc5_8C0914A0-B8A2-4694-839E-00AA87655EC6.jpeg,=IMAGE(H67)
67,featured,NA,Joseph,Edwards,"Head of Research, Enigma Securities",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609043fc8334cbf0c88519e9_6F6A0810-27ED-4DD5-A3AF-2473A51AFC68.jpeg,=IMAGE(H68)
68,featured,NA,Brian,Estes,"CIO & Managing Partner, Off The Chain Capital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60355301d9b4e2012db34b75_brian%20estes.jpg,=IMAGE(H69)
69,featured,NA,Edward,Evenson,"Director of Business Development, Slush Pool, Braiins",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e97c1897168_EdwardEvanson.jpg,=IMAGE(H70)
70,featured,NA,Amanda,Fabiano,"Head of Mining, Galaxy Digital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6021b9e5dd5d3b4b351bc002_Image%20from%20iOS%20(5)%20(1).jpg,=IMAGE(H71)
71,featured,NA,Hong,Fang,"CEO, Okcoin",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/604f7cd93289a30827e29c73_image.png,=IMAGE(H72)
72,featured,NA,Allen,Farrington,Independent Writer,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605e47d3c66aeafd3afd93dc_B40361F8-7EF7-431C-B085-9BF42A422627.jpeg,=IMAGE(H73)
73,featured,NA,Bruce,Fenton,"Managing Director, Chainstone Labs",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b5058db69c7fb1116c112_2E928688-B029-42B1-BF2A-90F44E666C4A.jpeg,=IMAGE(H74)
74,featured,NA,Greg,Foss,"Executive Director - Strategic Initiatives, Validus Power Corp",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/608c67ac99e64f0c19faa1a6_849427A9-72A3-4671-BEE2-7E62A17ADABC.jpeg,=IMAGE(H75)
75,featured,NA,Joshua,Frank,"Co-Founder & CEO, The Tie",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f46542b9dc681434daa56_DEC5F7E1-82D0-4F51-8313-9C8D142BA22E.jpeg,=IMAGE(H76)
76,featured,NA,Tony,Gallippi,"Co-Founder, BitPay",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606f341fa0efdb604219dfe6_CF7CB85B-391D-4DAE-8978-8222DA26E654.jpeg,=IMAGE(H77)
77,featured,NA,Irene,Gao,"Antminer BD Director, NCSA Region, Bitmain",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a6b93b3e4f9562e3daa483_291FA41B-D80E-4701-B74F-07E733E22D7B.jpeg,=IMAGE(H78)
78,featured,NA,Brandon,Gath,"Managing Partner, Kraken Ventures",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6054ecf9f9351a17b3dbdc05_9A0D0EDB-8E4F-4F11-961C-EE4534BC2376.jpeg,=IMAGE(H79)
79,featured,NA,Brandon,Gath,"Managing Partner, Kraken Ventures",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6054ecf9f9351a17b3dbdc05_9A0D0EDB-8E4F-4F11-961C-EE4534BC2376.jpeg,=IMAGE(H80)
80,featured,NA,Ryan,Gentry,"Business Development, Lightning Labs",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/608b892482a478f5b9c0464d_794FF9EE-2C20-4086-8AEE-ED368D8FAADE.jpeg,=IMAGE(H81)
81,featured,NA,Chris,Giancarlo,"Chairman Emeritus, US Commodity Futures Trading Commission",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60949eeca6b80369b8546be3_BAE724F2-0F83-4D4F-BEE8-9351EDFFB1D6.jpeg,=IMAGE(H82)
82,featured,NA,Whit,Gibbs,"CEO, Compass Mining",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606f5ef929e6cab893b4dff4_72294843-3541-4983-AD1D-6FDB7D15ED76.jpeg,=IMAGE(H83)
83,featured,NA,Alex,Gladstein,"Chief Strategy Officer, Human Rights Foundation",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8ea4e3897017_AlexGladstein.jpg,=IMAGE(H84)
84,featured,NA,Anand,Gomes,"Co-Founder & CEO, Paradigm",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60949db02c12367607c3f4e6_D6B3B934-3E8C-4618-8291-FDA1DEE1101A.png,=IMAGE(H85)
